index,delay_s,source,date,observer,location,frequency_mhz,notes
25,3,vdPol_1928_oct24,1928-10-24,Carl_Størmer,Oslo_Norway,9.55,"Simultaneous Oslo observation"
26,6,vdPol_1928_oct24,1928-10-24,Carl_Størmer,Oslo_Norway,9.55,
27,8,vdPol_1928_oct24,1928-10-24,Carl_Størmer,Oslo_Norway,9.55,
28,9,vdPol_1928_oct24,1928-10-24,Carl_Størmer,Oslo_Norway,9.55,
29,11,vdPol_1928_oct24,1928-10-24,Carl_Størmer,Oslo_Norway,9.55,
30,13,vdPol_1928_oct24,1928-10-24,Carl_Størmer,Oslo_Norway,9.55,
31,14,vdPol_1928_oct24,1928-10-24,Carl_Størmer,Oslo_Norway,9.55,
32,16,vdPol_1928_oct24,1928-10-24,Carl_Størmer,Oslo_Norway,9.55,
33,17,vdPol_1928_oct24,1928-10-24,Carl_Størmer,Oslo_Norway,9.55,
34,18,vdPol_1928_oct24,1928-10-24,Carl_Størmer,Oslo_Norway,9.55,
35,2,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,"Hals 1934 World Radio report; delays 2-30s observed 1928-1934"
36,3,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
37,5,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
38,8,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Very_frequent,
39,11,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
40,13,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
41,15,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
42,17,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
43,20,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
44,25,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
45,30,Hals_1934,1934-01,Jorgen_Hals,Oslo_Norway,Various,
46,0.5,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,"Appleton 1934 World Radio Research League experiments; multiple round-world hypothesis"
47,1,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
48,1.5,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
49,2,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
50,3,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
51,4,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
52,5,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
53,6,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
54,7,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
55,8,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Very_frequent_per_Faizullin,
56,9,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
57,10,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
58,11,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
59,12,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
60,13,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
61,14,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
62,15,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
63,16,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
64,17,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
65,18,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
66,19,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
67,20,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
68,21,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
69,22,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
70,23,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
71,24,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
72,25,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
73,26,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
74,27,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
75,28,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
76,29,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
77,30,Appleton_1934,1934-01,E_V_Appleton,UK_Switzerland,Various,
78,0.2,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,"Crawford et al. 1970 JGR 75:7326-7332; recorded up to 40s delays"
79,0.5,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
80,1,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
81,2,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,Most_frequent_delay_class
82,3,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
83,4,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
84,5,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
85,6,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
86,7,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
87,8,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,Most_frequent_delay_class
88,9,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
89,10,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
90,12,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
91,15,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
92,20,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
93,30,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,
94,40,Crawford_1970,1967-1970,F_W_Crawford,Stanford_CA_USA,5-12,Maximum_observed
95,2,Crawford_1978,1978,F_W_Crawford,Alaska_USA,5.8,"Crawford Alaska 1978 follow-up; 5.8 MHz"
96,5,Crawford_1978,1978,F_W_Crawford,Alaska_USA,5.8,
97,8,Crawford_1978,1978,F_W_Crawford,Alaska_USA,5.8,Most_frequent
98,10,Crawford_1978,1978,F_W_Crawford,Alaska_USA,5.8,
99,15,Crawford_1978,1978,F_W_Crawford,Alaska_USA,5.8,
100,25,Crawford_1978,1978,F_W_Crawford,Alaska_USA,5.8,
